id,Assigned Dealer Account,zip,route,,,,,,,,,,,,,
187,SX Central Coast,93433,https://pergola.struxure.com/central-coast-2,,,,,,,,,,,,,
188,SX Central Coast,93434,https://pergola.struxure.com/central-coast-2,,,,,,,,,,,,,
189,SX Central Coast,93435,https://pergola.struxure.com/central-coast-2,,,,,,,,,,,,,
190,SX Central Coast,93436,https://pergola.struxure.com/central-coast-2,,,,,,,,,,,,,
191,SX Central Coast,93437,https://pergola.struxure.com/central-coast-2,,,,,,,,,,,,,
192,SX Central Coast,93440,https://pergola.struxure.com/central-coast-2,,,,,,,,,,,,,
193,SX Central Coast,93441,https://pergola.struxure.com/central-coast-2,,,,,,,,,,,,,
194,SX Central Coast,93442,https://pergola.struxure.com/central-coast-2,,,,,,,,,,,,,
195,SX Central Coast,93444,https://pergola.struxure.com/central-coast-2,,,,,,,,,,,,,
196,SX Central Coast,93445,https://pergola.struxure.com/central-coast-2,,,,,,,,,,,,,
197,SX Central Coast,93446,https://pergola.struxure.com/central-coast-2,,,,,,,,,,,,,
198,SX Central Coast,93449,https://pergola.struxure.com/central-coast-2,,,,,,,,,,,,,
199,SX Central Coast,93450,https://pergola.struxure.com/central-coast-2,,,,,,,,,,,,,
200,SX Central Coast,93451,https://pergola.struxure.com/central-coast-2,,,,,,,,,,,,,
201,SX Central Coast,93452,https://pergola.struxure.com/central-coast-2,,,,,,,,,,,,,
202,SX Central Coast,93453,https://pergola.struxure.com/central-coast-2,,,,,,,,,,,,,
203,SX Central Coast,93454,https://pergola.struxure.com/central-coast-2,,,,,,,,,,,,,
204,SX Central Coast,93455,https://pergola.struxure.com/central-coast-2,,,,,,,,,,,,,
205,SX Central Coast,93458,https://pergola.struxure.com/central-coast-2,,,,,,,,,,,,,
206,SX Central Coast,93460,https://pergola.struxure.com/central-coast-2,,,,,,,,,,,,,
207,SX Central Coast,93461,https://pergola.struxure.com/central-coast-2,,,,,,,,,,,,,
208,SX Central Coast,93463,https://pergola.struxure.com/central-coast-2,,,,,,,,,,,,,
209,SX Central Coast,93465,https://pergola.struxure.com/central-coast-2,,,,,,,,,,,,,
210,SX Central Coast,93908,https://pergola.struxure.com/central-coast-2,,,,,,,,,,,,,
211,SX Central Coast,93920,https://pergola.struxure.com/central-coast-2,,,,,,,,,,,,,
212,SX Central Coast,93921,https://pergola.struxure.com/central-coast-2,,,,,,,,,,,,,
213,SX Central Coast,93923,https://pergola.struxure.com/central-coast-2,,,,,,,,,,,,,
214,SX Central Coast,93924,https://pergola.struxure.com/central-coast-2,,,,,,,,,,,,,
215,SX Central Coast,93925,https://pergola.struxure.com/central-coast-2,,,,,,,,,,,,,
216,SX Central Coast,93926,https://pergola.struxure.com/central-coast-2,,,,,,,,,,,,,
217,SX Central Coast,93927,https://pergola.struxure.com/central-coast-2,,,,,,,,,,,,,
218,SX Central Coast,93928,https://pergola.struxure.com/central-coast-2,,,,,,,,,,,,,
219,SX Central Coast,93930,https://pergola.struxure.com/central-coast-2,,,,,,,,,,,,,
220,SX Central Coast,93932,https://pergola.struxure.com/central-coast-2,,,,,,,,,,,,,
221,SX Central Coast,93933,https://pergola.struxure.com/central-coast-2,,,,,,,,,,,,,
222,SX Central Coast,93940,https://pergola.struxure.com/central-coast-2,,,,,,,,,,,,,
223,SX Central Coast,93943,https://pergola.struxure.com/central-coast-2,,,,,,,,,,,,,
224,SX Central Coast,93944,https://pergola.struxure.com/central-coast-2,,,,,,,,,,,,,
225,SX Central Coast,93950,https://pergola.struxure.com/central-coast-2,,,,,,,,,,,,,
226,SX Central Coast,93953,https://pergola.struxure.com/central-coast-2,,,,,,,,,,,,,
227,SX Central Coast,93954,https://pergola.struxure.com/central-coast-2,,,,,,,,,,,,,
228,SX Central Coast,93955,https://pergola.struxure.com/central-coast-2,,,,,,,,,,,,,
229,SX Central Coast,93960,https://pergola.struxure.com/central-coast-2,,,,,,,,,,,,,
230,SX Cincinnati,40049,https://pergola.struxure.com/cincinnati-2,,,,,,,,,,,,,
